id,accommodates,bathrooms_text,bedrooms,beds
2595,1,1 bath,,1
5121,2,,1,1
5136,4,1.5 baths,2,2
5178,2,1 bath,1,1
5203,1,1 shared bath,1,1
5803,2,1.5 baths,1,1
6848,3,1 bath,,1
6872,1,1 shared bath,1,1
6990,1,1 shared bath,1,1
7064,2,1 shared bath,1,1
7097,4,1 bath,1,2
7801,4,1 bath,,2
8490,5,1 bath,1,4
9357,2,1 bath,,1
9704,2,1 shared bath,1,1
10452,3,1 shared bath,1,2
10962,2,1 shared bath,1,2
11943,1,1 bath,1,2
12192,2,1 shared bath,1,1
12937,4,1 private bath,1,2
12940,2,1 bath,1,1
13808,2,1 private bath,1,1
14290,2,1 bath,2,2
14314,2,1 bath,1,2
14434,2,1 shared bath,1,1
15341,3,1 bath,1,2
15385,1,1 shared bath,1,1
15396,4,2 baths,2,2
16326,4,2 baths,4,4
16580,2,1 shared bath,1,1
16821,1,1 shared bath,1,1
16974,8,2 baths,4,6
17037,2,1 bath,1,1
17693,2,1 shared bath,1,2
18152,2,1 shared bath,2,1
18728,3,1.5 baths,1,1
18961,2,1 bath,1,1
19159,2,1 bath,2,2
19812,2,1 bath,1,1
20913,2,1 bath,1,1
21456,2,1 private bath,1,1
21644,1,1 shared bath,1,1
21794,2,1 shared bath,1,1
23135,2,1 bath,1,1
23686,4,2 baths,3,3
24285,5,3 baths,4,6
25406,4,1 bath,1,2
25696,2,1 shared bath,1,1
26785,2,1 bath,1,1
27644,6,1 bath,1,4
27883,3,1 bath,,2
28907,4,1 bath,1,2
29013,2,1 shared bath,1,1
29628,2,1 shared bath,1,1
29683,3,1 bath,1,1
31130,1,1 shared bath,1,1
31555,2,1 bath,,1
31902,2,1 shared bath,3,1
31994,2,1 private bath,1,1
32037,3,1.5 baths,1,2
33009,2,1 bath,1,1
33156,2,1 bath,1,1
36647,2,1 private bath,1,1
36703,2,1 bath,1,2
36934,2,1 bath,1,1
38663,11,2.5 baths,5,5
39282,2,1 shared bath,1,1
39572,2,,1,1
39593,1,1 shared bath,1,1
39704,4,1 bath,1,1
42300,4,2 baths,2,2
42729,2,1 bath,1,1
42882,2,1 shared bath,1,1
43105,2,1 bath,1,1
44229,2,1 bath,1,1
44973,2,1 bath,,
45542,4,1 bath,2,2
45556,2,1.5 shared baths,1,1
45910,16,2.5 baths,5,10
45935,1,1 shared bath,1,1
45936,2,1 shared bath,1,1
46544,2,1 bath,1,1
46911,2,1 shared bath,1,1
49048,3,2 shared baths,1,2
50447,4,1 bath,1,2
51438,1,1 bath,1,1
52689,4,1 bath,2,2
53469,4,1 bath,1,1
53470,7,1 bath,2,3
53477,12,2 baths,4,8
54466,2,1 bath,1,1
54508,2,2 shared baths,1,1
54694,2,1 shared bath,1,1
54860,2,1 private bath,1,1
55959,1,1 shared bath,1,1
55982,1,1 shared bath,1,1
56859,2,1 shared bath,1,1
57166,2,1 bath,1,2
57297,3,1 bath,1,1
57618,2,1 bath,1,1
57754,2,1 bath,1,1
57874,2,1 bath,1,1
58059,2,1.5 baths,1,1
58062,4,1 private bath,2,3
59014,2,1 bath,1,1
59121,9,1 bath,3,6
59709,5,1 bath,2,2
60164,6,1 bath,3,3
60181,2,1 bath,1,1
60457,3,1 bath,1,1
60611,2,1 bath,1,1
60666,2,1.5 baths,1,2
60673,2,1 bath,1,1
60680,6,1 bath,1,2
